CustomerID,last_transaction_date,days_since_last_transaction,total_lifetime_spend,avg_monthly_spend,active_months,spend_last_30_days,total_invoices,avg_basket_size,drop_in_spend_vs_30_day_avg,recency_score,tx_frequency_per_month,anomaly_flag,anomaly_score,priority_tier
12346.0,2011-01-18 10:01:00,325,77183.6,77183.6,1,0.0,1,77183.6,1.0,0.12868632707774796,1.0,-1,-0.24489391770647173,Tier 1: High Risk / High Value
12347.0,2011-12-07 15:52:00,2,4310.0,615.7142857142857,7,224.82,7,615.7142857142857,0.6348631090487239,0.9946380697050938,1.0,1,0.040220728653260596,No Action
12348.0,2011-09-25 13:13:00,75,1797.24,449.31,4,0.0,4,449.31,1.0,0.7989276139410187,1.0,1,0.12292866365461874,No Action
12349.0,2011-11-21 09:51:00,18,1757.55,1757.55,1,1757.55,1,1757.55,0.0,0.9517426273458445,1.0,-1,-0.0636274813591764,Tier 1: High Risk / High Value
12350.0,2011-02-02 16:01:00,310,334.4,334.4,1,0.0,1,334.4,1.0,0.16890080428954424,1.0,1,0.07322386837023359,No Action
12352.0,2011-11-03 14:37:00,36,2506.04,626.51,4,0.0,8,313.255,1.0,0.903485254691689,2.0,1,0.07057715916056756,No Action
12353.0,2011-05-19 17:47:00,204,89.0,89.0,1,0.0,1,89.0,1.0,0.453083109919571,1.0,1,0.09190175943017781,No Action
12354.0,2011-04-21 13:11:00,232,1079.4,1079.4,1,0.0,1,1079.4,1.0,0.37801608579088475,1.0,1,0.005492960395564683,No Action
12355.0,2011-05-09 13:49:00,214,459.4,459.4,1,0.0,1,459.4,1.0,0.42627345844504017,1.0,1,0.09801740964092209,No Action
12356.0,2011-11-17 08:40:00,22,2811.43,937.1433333333333,3,58.349999999999994,3,937.1433333333333,0.9377363121258576,0.9410187667560321,1.0,1,0.06815200593510418,No Action
12357.0,2011-11-06 16:07:00,33,6207.67,6207.67,1,0.0,1,6207.67,1.0,0.9115281501340482,1.0,-1,-0.12101808799142699,Tier 1: High Risk / High Value
12358.0,2011-12-08 10:26:00,1,1168.06,584.03,2,683.2,2,584.03,-0.16980292108282122,0.9973190348525469,1.0,1,0.06760835960795425,No Action
12359.0,2011-10-13 12:47:00,57,6372.58,1593.145,4,0.0,4,1593.145,1.0,0.8471849865951743,1.0,-1,-0.013005380381862164,Tier 2: Low Risk / High Value
12360.0,2011-10-18 15:22:00,52,2662.06,887.3533333333334,3,0.0,3,887.3533333333334,1.0,0.8605898123324397,1.0,1,0.0884846299567707,No Action
12361.0,2011-02-25 13:51:00,287,189.9,189.9,1,0.0,1,189.9,1.0,0.2305630026809652,1.0,1,0.08413747968508728,No Action
12362.0,2011-12-06 15:40:00,3,5226.23,653.27875,8,529.04,10,522.6229999999999,0.19017724057303256,0.9919571045576407,1.25,1,0.050241768537602094,No Action
12363.0,2011-08-22 10:18:00,109,552.0,276.0,2,0.0,2,276.0,1.0,0.707774798927614,1.0,1,0.13199572356616307,No Action
12364.0,2011-12-02 10:22:00,7,1313.1,328.275,4,310.32,4,328.275,0.05469499657299516,0.9812332439678284,1.0,1,0.11384645803123189,No Action
12365.0,2011-02-21 14:04:00,291,641.38,641.38,1,0.0,2,320.69,1.0,0.21983914209115285,2.0,-1,-0.014903627396598451,Tier 4: Low Risk / Low Value
12367.0,2011-12-05 16:48:00,4,168.9,168.9,1,168.9,1,168.9,0.0,0.9892761394101877,1.0,1,0.1016255485643891,No Action
12370.0,2011-10-19 14:51:00,51,3545.69,1181.8966666666668,3,0.0,4,886.4224999999999,1.0,0.8632707774798928,1.3333333333333333,1,0.06618729844927762,No Action
12371.0,2011-10-26 10:16:00,44,1887.96,1887.96,1,0.0,2,943.98,1.0,0.8820375335120644,2.0,-1,-0.003537630440175632,Tier 2: Low Risk / High Value
12372.0,2011-09-29 12:12:00,71,1298.04,432.68,3,0.0,3,432.68,1.0,0.8096514745308311,1.0,1,0.1361874895266743,No Action
12373.0,2011-02-01 13:10:00,311,364.6,364.6,1,0.0,1,364.6,1.0,0.16621983914209115,1.0,1,0.06969888462617618,No Action
12374.0,2011-11-14 15:37:00,25,742.9300000000001,742.9300000000001,1,742.9300000000001,1,742.9300000000001,0.0,0.9329758713136729,1.0,1,0.05523999617827885,No Action
12375.0,2011-11-29 10:36:00,10,457.5,228.75,2,227.20000000000002,2,228.75,0.006775956284152931,0.9731903485254692,1.0,1,0.12077679031236666,No Action
12377.0,2011-01-28 15:45:00,315,1628.12,814.06,2,0.0,2,814.06,1.0,0.1554959785522788,1.0,-1,-0.02846471303024878,Tier 4: Low Risk / Low Value
12378.0,2011-08-02 10:34:00,129,4008.62,4008.62,1,0.0,1,4008.62,1.0,0.6541554959785523,1.0,-1,-0.11596286125918798,Tier 1: High Risk / High Value
12379.0,2011-09-19 10:09:00,81,852.24,426.12,2,0.0,2,426.12,1.0,0.7828418230563002,1.0,1,0.13937207202147955,No Action
12380.0,2011-11-18 11:27:00,21,2724.81,681.2025000000001,4,1040.39,4,681.2025000000001,-0.5272844712108367,0.9436997319034852,1.0,1,0.0389700725061492,No Action
12381.0,2011-12-05 12:44:00,4,1845.31,461.3275,4,147.01,5,369.062,0.6813326758105684,0.9892761394101877,1.25,1,0.09512288738470831,No Action
12383.0,2011-06-08 08:02:00,184,1850.56,370.11199999999997,5,0.0,5,370.11199999999997,1.0,0.5067024128686327,1.0,1,0.038016322417315895,No Action
12384.0,2011-11-11 08:39:00,28,585.27,292.635,2,292.58,2,292.635,0.00018794744306049112,0.9249329758713136,1.0,1,0.11134175381709605,No Action
12386.0,2011-01-06 12:37:00,337,401.9,200.95,2,0.0,2,200.95,1.0,0.09651474530831095,1.0,1,0.015197338652245096,No Action
12388.0,2011-11-24 12:30:00,15,2780.66,463.4433333333333,6,286.4,6,463.4433333333333,0.3820172189336345,0.9597855227882037,1.0,1,0.09660632956085635,No Action
12390.0,2011-09-21 09:33:00,79,549.84,549.84,1,0.0,1,549.84,1.0,0.7882037533512064,1.0,1,0.13382367208526524,No Action
12391.0,2011-11-18 12:07:00,21,460.89,460.89,1,460.89,1,460.89,0.0,0.9436997319034852,1.0,1,0.1055560925223733,No Action
12393.0,2011-09-28 15:41:00,72,1582.6000000000001,527.5333333333333,3,0.0,4,395.65,1.0,0.806970509383378,1.3333333333333333,1,0.11955021748945543,No Action
12394.0,2011-10-07 08:08:00,63,1272.48,636.24,2,0.0,2,636.24,1.0,0.8310991957104558,1.0,1,0.12549709961956584,No Action
12395.0,2011-11-20 15:21:00,19,3018.63,377.32875,8,265.83,12,251.5525,0.2954949761978117,0.9490616621983914,1.5,1,0.07297429431550351,No Action
12397.0,2011-11-04 09:52:00,35,2409.9,1204.9499999999998,2,0.0,2,1204.9499999999998,1.0,0.9061662198391421,1.0,1,0.058565873744447494,No Action
12398.0,2011-10-25 10:27:00,45,1635.6599999999999,1635.6599999999999,1,0.0,1,1635.6599999999999,1.0,0.8793565683646113,1.0,1,0.026809526439168785,No Action
12399.0,2011-08-12 13:15:00,119,1108.65,277.1625,4,0.0,4,277.1625,1.0,0.6809651474530831,1.0,1,0.10449133915728759,No Action
12401.0,2011-02-09 13:50:00,303,84.3,84.3,1,0.0,1,84.3,1.0,0.18766756032171583,1.0,1,0.05658590628595722,No Action
12402.0,2011-01-20 13:49:00,323,225.6,225.6,1,0.0,1,225.6,1.0,0.13404825737265413,1.0,1,0.06414469007983375,No Action
12403.0,2011-10-21 10:51:00,49,427.7,427.7,1,0.0,1,427.7,1.0,0.868632707774799,1.0,1,0.1428715241841192,No Action
12405.0,2011-07-14 08:52:00,148,1710.39,1710.39,1,0.0,1,1710.39,1.0,0.6032171581769437,1.0,-1,-0.016600495539354276,Tier 2: Low Risk / High Value
12406.0,2011-11-17 19:22:00,22,3415.3,1707.65,2,1794.05,2,1707.65,-0.05059584809533561,0.9410187667560321,1.0,-1,-0.0627843925899585,Tier 1: High Risk / High Value
12407.0,2011-10-21 10:11:00,49,1708.1200000000001,427.03,4,0.0,5,341.62399999999997,1.0,0.868632707774799,1.25,1,0.12240542861195464,No Action
12408.0,2011-11-07 12:27:00,32,2888.55,722.1375,4,0.0,5,577.71,1.0,0.9142091152815013,1.25,1,0.09818334857398947,No Action
12409.0,2011-09-22 10:38:00,78,11072.67,5536.335,2,0.0,3,3690.89,1.0,0.7908847184986595,1.5,-1,-0.13278886952133773,Tier 1: High Risk / High Value
12410.0,2011-02-04 10:39:00,308,693.3299999999999,693.3299999999999,1,0.0,2,346.66499999999996,1.0,0.1742627345844504,2.0,-1,-0.02910964504089142,Tier 4: Low Risk / Low Value
12412.0,2011-09-26 10:16:00,74,1226.88,408.96000000000004,3,0.0,3,408.96000000000004,1.0,0.8016085790884718,1.0,1,0.13954172403174575,No Action
12413.0,2011-10-04 09:00:00,66,758.1,252.70000000000002,3,0.0,3,252.70000000000002,1.0,0.8230563002680965,1.0,1,0.14479980943284632,No Action
12414.0,2011-05-06 14:51:00,217,562.41,187.47,3,0.0,3,187.47,1.0,0.4182305630026809,1.0,1,0.07604841513276311,No Action
12415.0,2011-11-15 14:22:00,24,124914.53,11355.866363636364,11,5355.4,21,5948.310952380953,0.5284023403842611,0.935656836461126,1.9090909090909092,-1,-0.26048875110022474,Tier 1: High Risk / High Value
12417.0,2011-12-06 14:52:00,3,3649.1,456.1375,8,369.73,9,405.4555555555555,0.18943301087939485,0.9919571045576407,1.125,1,0.06625965121693361,No Action
12418.0,2011-08-19 11:08:00,112,668.58,668.58,1,0.0,1,668.58,1.0,0.6997319034852547,1.0,1,0.10474118930692544,No Action
